## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value
## 2.0
C-000065,"P2_TMR_TIMEOUT_DONE",false,"False",,,,,,,,false,false,"False"
S32-000021,"P2_TMR_TIMEOUT_VAL",false,"0",,,,,,,,false,false,"0"
S32-000007,"P2_TMR_VAL",true,"512580",,,,,,,,false,false,"0"
C-000083,"P2__FLOOD_TMR_DONE",false,"False",,,,,,,,false,false,"False"
C-000003,"P3",false,"False",,,,,,,,false,false,"False"
C-000070,"P3_ALARM",false,"False",,,,,,,,false,false,"False"
C-000063,"P3_OFFSET_DONE",false,"False",,,,,,,,false,false,"False"
S16-000066,"P3_TMR_CURRENT_DAY",false,"0",,,,,,,,false,false,"0"
S16-000067,"P3_TMR_CURRENT_HOUR",false,"0",,,,,,,,false,false,"0"
S16-000068,"P3_TMR_CURRENT_MIN",false,"0",,,,,,,,false,false,"0"
C-000054,"P3_TMR_DONE",false,"False",,,,,,,,false,false,"False"
S32-000017,"P3_TMR_OFFSET",false,"0",,,,,,,,false,false,"0"
C-000061,"P3_TMR_OFFSET_EN",false,"False",,,,,,,,false,false,"False"
S32-000008,"P3_TMR_PRESET",false,"17280000",,,,,,,,false,false,"0"
S32-000033,"P3_TMR_PRESET_DAY",true,"0",,,,,,,,false,false,"0"
S32-000034,"P3_TMR_PRESET_HOUR",true,"12",,,,,,,,false,false,"0"
S32-000035,"P3_TMR_PRESET_MIN",true,"0",,,,,,,,false,false,"0"
S32-000022,"P3_TMR_TIMEOUT",false,"44000",,,,,,,,false,false,"0"
C-000066,"P3_TMR_TIMEOUT_DONE",false,"False",,,,,,,,false,false,"False"
S32-000023,"P3_TMR_TIMEOUT_VAL",false,"0",,,,,,,,false,false,"0"
S32-000009,"P3_TMR_VAL",true,"8428156",,,,,,,,false,false,"0"
C-000004,"P4",false,"False",,,,,,,,false,false,"False"
C-000071,"P4_ALARM",false,"False",,,,,,,,false,false,"False"
